city_latitude,city_longitude
-32.0555,115.8474
-32.0555,115.8474
-32.0555,115.8474
-31.96629972,115.8624718
-31.9,116
-31.8273,115.9742
6.8,-58.1667
19.0676,-155.5798
19.2687,-155.8722
19.2687,-155.8722
19.2687,-155.8722
19.4601,-155.0246
19.4601,-155.0246
19.5238,-155.1545
19.5243,-155.9007
19.5482,-155.0597
19.69938031,-155.138511
19.69938031,-155.138511
19.69938031,-155.138511
19.69938031,-155.138511
19.69938031,-155.138511
19.69938031,-155.138511
19.69938031,-155.138511
19.69938031,-155.138511
19.69938031,-155.138511
19.69938031,-155.138511
19.7108,-155.874
19.7108,-155.874
19.8703,-155.2297
19.8703,-155.2297
19.9305,-155.7967
19.9305,-155.7967
19.9305,-155.7967
19.9305,-155.7967
20.1304,-155.793975
20.1304,-155.793975
20.2017,-155.7833
20.2017,-155.7833
20.6989,-156.443
20.6989,-156.443
20.6989,-156.443
20.6989,-156.443
20.6989,-156.443
20.6989,-156.443
20.6989,-156.443
20.6989,-156.443
20.6989,-156.443
20.6989,-156.443
20.6989,-156.443
20.6989,-156.443
20.6989,-156.443
20.6989,-156.443
20.6989,-156.443
20.6989,-156.443
20.6989,-156.443
20.702,-156.2581
20.7615,-156.1103
20.7615,-156.1103
20.7615,-156.1103
20.7615,-156.1103
20.7615,-156.1103
20.8209,-156.9474
20.8367,-156.3367
20.8367,-156.3367
20.8451,-156.3087
20.8451,-156.3087
20.8451,-156.3087
20.8588,-156.1405
20.8588,-156.1405
20.8588,-156.1405
20.8588,-156.1405
20.8588,-156.1405
20.88045135,-156.4690459
20.88045135,-156.4690459
20.88045135,-156.4690459
20.88045135,-156.4690459
20.88045135,-156.4690459
20.88045135,-156.4690459
20.88045135,-156.4690459
20.8999,-156.5389
20.8999,-156.5389
20.8999,-156.5389
20.8999,-156.5389
20.8999,-156.5389
20.8999,-156.5389
20.8999,-156.5389
20.8999,-156.5389
20.90586279,-156.6267163
20.90586279,-156.6267163
20.90586279,-156.6267163
20.90586279,-156.6267163
20.90586279,-156.6267163
20.90586279,-156.6267163
20.90586279,-156.6267163
20.90586279,-156.6267163
20.90586279,-156.6267163
20.90586279,-156.6267163
20.90586279,-156.6267163
20.90586279,-156.6267163
20.90586279,-156.6267163
20.90586279,-156.6267163
20.90586279,-156.6267163
20.90586279,-156.6267163
20.90586279,-156.6267163
